-->[1]  [OSMlabel=(tourism) (hotel) London Hotel, lat=51.4615782, lgt=-0.1130331, score=7.0]
-->[2]  [OSMlabel=(tourism) (hotel) Premier Inn, lat=51.5110723, lgt=-0.1302533, score=7.0]
-->[3]  [OSMlabel=(tourism) (hotel) Think London Bridge, lat=51.4986958, lgt=-0.0837471, score=7.0]
-->[4]  [OSMlabel=(tourism) (hotel) Leicester Square Hotel, lat=51.509647, lgt=-0.130148, score=7.0]
-->[5]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=3.0]
-->[6]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=3.0]
-->[7]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=3.0]
-->[8]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=3.0]
-->[9]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=3.0]
-->[10]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=3.0]
