-->[1]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=10.0]
-->[2]  [OSMlabel=(tourism) (hotel) DoubleTree by Hilton Hotel Dubai - Jumeirah Beach, lat=25.0724883, lgt=55.128186, score=10.0]
-->[3]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=10.0]
-->[4]  [OSMlabel=(tourism) (hotel) Grand Midwest Tower Hotel Apartments, lat=25.1014427, lgt=55.1707467, score=10.0]
-->[5]  [OSMlabel=(tourism) (hotel) Chelsea Gardens Hotel, lat=25.0482305, lgt=55.130645, score=10.0]
-->[6]  [OSMlabel=(tourism) (hotel) Pulman, lat=25.2505072, lgt=55.3346895, score=10.0]
-->[7]  [OSMlabel=(tourism) (hotel) Auris Plaza Hotel, lat=25.1138027, lgt=55.2003057, score=10.0]
-->[8]  [OSMlabel=(tourism) (hotel) Media One Hotel, lat=25.0897789, lgt=55.1525559, score=10.0]
-->[9]  [OSMlabel=(tourism) (hotel) Dusit, lat=25.0829862, lgt=55.1443893, score=10.0]
-->[10]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=8.0]
