-->[1]  [OSMlabel=(tourism) (hotel) Seven Dials Hotel, lat=51.51481, lgt=-0.126725, score=0.30321606093791126]
-->[2]  [OSMlabel=(tourism) (hotel) Coventry Garden Hotel, lat=51.514594, lgt=-0.127048, score=0.30321606093791126]
-->[3]  [OSMlabel=(tourism) (hotel) Radisson Edwardian, lat=51.514283, lgt=-0.127063, score=0.30321606093791126]
-->[4]  [OSMlabel=(tourism) (hotel) Courthouse, lat=51.5143154, lgt=-0.1394202, score=0.09819162321718075]
-->[5]  [OSMlabel=(tourism) (hotel) The Wellesley, lat=51.5024239, lgt=-0.1538473, score=0.056514089692017835]
-->[6]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=0.0]
-->[7]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=0.0]
-->[8]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.0]
-->[9]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.0]
-->[10]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.0]
