-->[1]  [OSMlabel=(tourism) (hotel) Cassa Hotel, lat=40.7563387, lgt=-73.9821893, score=0.23897204866577917]
[BN]  [OSMlabel=Angel Street Thrift Shop, lat=40.7396076, lgt=-73.9965319, score=0.0]
-->[2]  [OSMlabel=(tourism) (hotel) Hyatt Place, lat=40.750405799999996, lgt=-73.9858115, score=0.23897204866577917]
[BN]  [OSMlabel=Angel Street Thrift Shop, lat=40.7396076, lgt=-73.9965319, score=0.0]
-->[3]  [OSMlabel=(tourism) (hotel) Best Western Herald Square, lat=40.750339499999995, lgt=-73.98566794999999, score=0.23897204866577917]
[BN]  [OSMlabel=Angel Street Thrift Shop, lat=40.7396076, lgt=-73.9965319, score=0.0]
-->[4]  [OSMlabel=(tourism) (hotel) Fairfield Inn, lat=40.75227085, lgt=-73.9951083, score=0.23897204866577917]
[BN]  [OSMlabel=Angel Street Thrift Shop, lat=40.7396076, lgt=-73.9965319, score=0.0]
-->[5]  [OSMlabel=(tourism) (hotel) Hilton Garden Inn, lat=40.75518705, lgt=-73.9856651, score=0.23897204866577917]
[BN]  [OSMlabel=Angel Street Thrift Shop, lat=40.7396076, lgt=-73.9965319, score=0.0]
