-->[1]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=12.0]
-->[2]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=12.0]
-->[3]  [OSMlabel=(tourism) (hotel) The Ship Hotel, lat=51.37410575, lgt=-0.45626795, score=12.0]
-->[4]  [OSMlabel=(tourism) (hotel) Holiday Inn, lat=51.39182325, lgt=-0.4244812, score=12.0]
-->[5]  [OSMlabel=(tourism) (hotel) Talbot Inn, lat=51.3006821, lgt=-0.4888882, score=12.0]
-->[6]  [OSMlabel=(tourism) (hotel) Marylebone Hotel, lat=51.518195, lgt=-0.149711, score=12.0]
-->[7]  [OSMlabel=(tourism) (hotel) Flossie's B&B, lat=51.0855136, lgt=-0.9943336, score=12.0]
-->[8]  [OSMlabel=(tourism) (hotel) The Stanwell Hotel, lat=51.4552856, lgt=-0.4826869, score=12.0]
-->[9]  [OSMlabel=(tourism) (hotel) Harrow Hotel, lat=51.5811585, lgt=-0.3428417, score=12.0]
-->[10]  [OSMlabel=(tourism) (hotel) Berjaya eden Park Hotel, lat=51.5120259, lgt=-0.1866141, score=12.0]
