-->[1]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=18.0]
-->[2]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=18.0]
-->[3]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=18.0]
-->[4]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=18.0]
-->[5]  [OSMlabel=(tourism) (hotel) The Two Brewers, lat=51.70379755, lgt=-0.4911594, score=18.0]
-->[6]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=18.0]
-->[7]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=18.0]
-->[8]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=18.0]
-->[9]  [OSMlabel=(tourism) (hotel) mk london, lat=51.4643533, lgt=-0.2136615, score=18.0]
-->[10]  [OSMlabel=(tourism) (hotel) St James's Hotel, lat=51.493543, lgt=-0.215281, score=18.0]
