-->[1]  [OSMlabel=(tourism) (hotel) MyHotel, lat=51.518751, lgt=-0.1319861, score=0.43251030353142855]
-->[2]  [OSMlabel=(tourism) (hotel) Staunton Hotel, lat=51.5202132, lgt=-0.1303257, score=0.43251030353142855]
-->[3]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.3857109619057866]
-->[4]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.3857109619057866]
-->[5]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.3857109619057866]
-->[6]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.3857109619057866]
-->[7]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.3857109619057866]
-->[8]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.3857109619057866]
-->[9]  [OSMlabel=(tourism) (hotel) Marriott, lat=51.51311305, lgt=-0.15776235, score=0.3857109619057866]
-->[10]  [OSMlabel=(tourism) (hotel) mk london, lat=51.4643533, lgt=-0.2136615, score=0.3857109619057866]
