-->[1]  [OSMlabel=(tourism) (hotel) Griffin House Hotel, lat=51.5147591, lgt=-0.1648277, score=0.44943640581057204]
-->[2]  [OSMlabel=(tourism) (hotel) The Berkeley, lat=51.5019767, lgt=-0.1561265, score=0.44943640581057204]
-->[3]  [OSMlabel=(tourism) (hotel) The Washington, lat=51.5071829, lgt=-0.1460304, score=0.44943640581057204]
-->[4]  [OSMlabel=(tourism) (hotel) Flemings Mayfair, lat=51.506367, lgt=-0.145224, score=0.44943640581057204]
-->[5]  [OSMlabel=(tourism) (hotel) Hilton London Green Park Hotel, lat=51.5064449, lgt=-0.1456241, score=0.44943640581057204]
-->[6]  [OSMlabel=(tourism) (hotel) Park Lane Mews Hotel, lat=51.5059548, lgt=-0.1491165, score=0.44943640581057204]
-->[7]  [OSMlabel=(tourism) (hotel) Marble Arch Inn, lat=51.51516, lgt=-0.161579, score=0.44943640581057204]
-->[8]  [OSMlabel=(tourism) (hotel) Boston Court Hotel, lat=51.515442, lgt=-0.1610345, score=0.44943640581057204]
-->[9]  [OSMlabel=(tourism) (hotel) Berjaya eden Park Hotel, lat=51.5120259, lgt=-0.1866141, score=0.4103626347583772]
-->[10]  [OSMlabel=(tourism) (hotel) The Blair Victoria & Tudor Inn Hotel, lat=51.4914874, lgt=-0.1420448, score=0.4103626347583772]
