-->[1]  [OSMlabel=(tourism) (hotel) The Five Arrows Hotel, lat=51.8454561, lgt=-0.9254593, score=0.3799783574435262]
-->[2]  [OSMlabel=(tourism) (hotel) Horwood House, lat=51.9589995, lgt=-0.8428578, score=0.3799783574435262]
-->[3]  [OSMlabel=(tourism) (hotel) Threadneedle, lat=51.5139693, lgt=-0.0860502, score=0.3799783574435262]
-->[4]  [OSMlabel=(tourism) (hotel) The Brownlow, lat=51.848491, lgt=-0.644166, score=0.3799783574435262]
-->[5]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=0.3351757395324666]
-->[6]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=0.3351757395324666]
-->[7]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.3351757395324666]
-->[8]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.3351757395324666]
-->[9]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.3351757395324666]
-->[10]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.3351757395324666]
