13787	-23.5404331	-46.6149433	(shop) (curtain)
13929	-23.5408978	-46.6161736	(shop) (curtain)	Zelo
14350	-23.5023914	-46.6107904	(shop) (curtain)	Kasachic Decor
21380	-23.5398813	-46.6156249	(shop) (curtain)	Braz Fabril
21384	-23.5401518	-46.6161691	(shop) (curtain)	Braz Fabril
21450	-23.5347965	-46.6188598	(shop) (curtain)	Braz Fabril
21758	-23.5367311	-46.6113897	(shop) (curtain)	Lar Chic Cortinas e Decorações
25524	-23.5605799	-46.6816165	(shop) (curtain)	Cortinas Serra
28049	-23.4792898	-46.3532369	(shop) (curtain)	VestCasa
36800	-23.5610574	-46.6875102	(shop) (curtain)	Japan Center Decor
